##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1107	22-23	-0.2651119119674945
1107	24-25	-0.08234401670544145
1107	26-27	-0.086587165071073
1107	28-29	-0.28255616728161925
1107	30-31	-0.4095515392760163
1107	32-33	-0.19318339167111986
1107	34-35	-0.14794555391656417
1107	36-37	-0.42293317098834393
1107	38-39	-0.5012509683361088
1107	40-41	-0.5074865648243829
1107	42-43	-0.38418701890960705
1107	44-45	-0.3498981478442502
1107	46-47	-0.2291424573966765
1107	48-49	-0.16321972613404512
1107	50-51	-0.14830320906204975
1107	52-53	-0.25337708797167835
1107	54-55	0.0062052434472192886
1107	56-57	-0.2454123371842556
1107	58-59	-0.20426053063135186
1107	60-61	-0.13436366728922877
1107	62-63	-0.21004931399499327
1107	64-65	-0.21081397390992151
1107	66-67	-0.1066325706157798
1107	68-69	0.041161426244897825
1107	70-71	-0.20273373054742194
1107	72-73	-0.20565433072282957
1107	74-75	-0.1223784013045659
1107	76-77	-0.19586316366223855
1107	78-79	0.07633345648012835
1107	80-81	-0.23083584705248938
1107	82-83	-0.32959199515655513
1107	84-85	-0.14911123090666933
1107	86-87	-0.16789895621445083
1107	88-89	-0.20821548123489464
1107	90-91	-0.3785490988937994
1107	92-93	-0.25435880565360947
1107	94-95	-0.22261394159773573
1107	96-97	-0.21741804928353048
1107	98-99	0.05833946407626911
1107	100-101	0.12880311436940417
1108	1	-0.7027059643573743
1108	2	-0.26687439679362157
1108	3	-0.9280883088268723
1108	4	-0.9085227469363062
1108	5	-0.4572321650888753
1108	6	-0.6882324159398294
1108	7	-0.6448787041890114
1108	8	-0.5744888248791753
1108	9	-0.43146481511498536
1108	10-11	-0.7213289209366138
1108	12-13	-0.8828978330282098
1108	14-15	-0.9576375471884546
1108	16-17	-0.40505993148498476
1108	18-19	-0.025563270191078402
1108	20-21	0.15692741705126423
1108	22-23	0.025832670497344168
1108	24-25	0.15314205261219627
1108	26-27	0.2229793917501084
1108	28-29	0.12890904668465453
1108	30-31	0.06613689098555398
1108	32-33	0.25864346224661716
1108	34-35	0.06121513730264638
1108	36-37	-0.026646403943942687
1108	38-39	-0.18965684188903964
1108	40-41	-0.012341462978788797
1108	42-43	0.05926082956234069
1108	44-45	0.13163155753010614
1108	46-47	0.14131808324370354
1108	48-49	0.2667738091290417
1108	50-51	0.19178063680199386
1108	52-53	0.18059933989727028
1108	54-55	0.3142092849781122
1108	56-57	0.19520420728236587
1108	58-59	0.21723595810520635
1108	60-61	0.3994203933728713
1108	62-63	0.28996704662112194
1108	64-65	0.27669477213906646
1108	66-67	0.2359588072477905
1108	68-69	0.27295496566694055
1108	70-71	0.14815538484170787
1108	72-73	0.1355685656994865
1108	74-75	0.26642453064015825
1108	76-77	0.17128832769201807
1108	78-79	0.24655305264508343
1108	80-81	0.18047501138139665
1108	82-83	0.27111409539624276
1108	84-85	0.24553794549685648
1108	86-87	0.32243176675964236
1108	88-89	0.2430233079204882
1108	90-91	0.10315009940543263
1108	92-93	0.16280854173701442
1108	94-95	0.2100351357246808
1108	96-97	0.17466885586281933
1108	98-99	0.3919816613773577
1108	100-101	0.3373127448090827
1109	1	-0.2951946662429883
1109	2	-0.17158308075809003
1109	3	-0.6936402606735257
1109	4	-0.8115147992972211
1109	5	-0.4177131141304784
1109	6	-0.7956083314766857
1109	7	-0.7052213487269583
1109	8	-0.9759736503427874
1109	9	-0.481144864203344
1109	10-11	-0.6167117906576678
1109	12-13	-0.5362551261558437
1109	14-15	-0.5774913047854682
1109	16-17	-0.22134382582813572
1109	18-19	-0.012095625653124387
1109	20-21	0.11801710070405846
1109	22-23	-0.077977277687161
1109	24-25	0.09241590526919907
1109	26-27	0.10074304688490798
1109	28-29	-0.2495193466455632
1109	30-31	-0.07595637689663448
1109	32-33	0.11646984139575522
1109	34-35	-0.07407247762645142
1109	36-37	-0.09106878784608341
1109	38-39	-0.18063661242043594
1109	40-41	-0.24517636441247959
1109	42-43	-0.02656953314609467
1109	44-45	0.026270553556294374
1109	46-47	0.17755118477090548
1109	48-49	0.20010762945005922
1109	50-51	0.16879725282193903
1109	52-53	0.058025756057475064
1109	54-55	0.3647147781992359
1109	56-57	0.2058436708167264
1109	58-59	0.12818173689591106
1109	60-61	0.09346307297393253
1109	62-63	-0.035119150199818705
1109	64-65	-0.007331057687949283
1109	66-67	0.17064280093642736
1109	68-69	0.29719234294604746
1109	70-71	0.18114758329893732
1109	72-73	0.0722881679279368
1109	74-75	0.1385939146981272
1109	76-77	0.25335062315718915
1109	78-79	0.4656622060656872
1109	80-81	0.22126388273872521
1109	82-83	0.24932261378489784
1109	84-85	0.1763966508887762
1109	86-87	0.19567374120253334
1109	88-89	0.08762797131459621
1109	90-91	9.24078679240381E-4
1109	92-93	0.02743935637002437
1109	94-95	0.014479141880201496
1109	96-97	0.06576866885954757
1109	98-99	0.18471970095971812
